words,count
#5G,2849
#IoT,1038
#MobilityReport,500
#AI,384
#ConsumerLab,365
#networkedsociety,351
#MWC19,331
#NetworkedSociety,331
#ICT,249
#cloud,215
#Ericsson,214
#5GThings,203
#VR,189
#LTE,149
#TV,145
#MWC16,145
#MWC18,143
#innovation,142
#AR,133
#MWC13,117
#MWC14,114
#tech,107
#cities,101
#MWC15,99
#EBIF,97
#mobile,93
#GlobalGoals,93
#sime12,93
#podcast,90
#EIA2019,89
#EricssonONE,86
#mobility,76
#data,74
#EricssonLive,73
#4G,72
#mswc,67
#Industry40,64
#Cloud,63
#smartphone,63
#technology,62
#broadband,58
#BBWF,56
#MWC17,53
#video,50
#COVID19,49
#TBT,49
#CodeCon,49
#NFV,48
#tech4good,48
#bigdata,47
